Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
acl,Abs_Tiling,11.33,1,11.33,11.33,11.33,0.0
acl,Add_Tiling,1184.73,83,14.274,5.63,32.4,24.237
acl,ArgMaxWithValue_Tiling,15.96,2,7.98,7.45,8.51,0.281
acl,BatchMatMulV2_Tiling,3029.4,40,75.735,13.26,264.24,4679.633
acl,BroadcastTo_Tiling,671.81,56,11.997,5.97,40.31,77.701
acl,Cast_Tiling,605.26,81,7.472,3.41,38.13,23.273
acl,ClipByValueV2_Tiling,119.45,8,14.931,9.08,27.23,30.984
acl,ConcatD_Tiling,432.91,24,18.038,8.05,46.87,109.796
acl,Cos_Tiling,51.37,10,5.137,3.78,6.54,0.977
acl,Cumsum_Tiling,28.05,8,3.506,2.04,6.95,3.465
acl,Equal_Tiling,351.49,18,19.527,7.4,55.83,142.214
acl,Eye_Tiling,7.5,1,7.5,7.5,7.5,0.0
acl,Fill_Tiling,541.68,43,12.597,5.99,81.75,178.086
acl,FloorDiv_Tiling,89.15,9,9.906,6.42,14.22,6.543
acl,GatherElements_Tiling,22.32,3,7.44,5.38,11.19,7.054
acl,GatherV2_Tiling,55.33,3,18.443,10.52,30.85,78.935
acl,Gelu_Tiling,108.59,13,8.353,6.76,13.9,3.573
acl,Greater_Tiling,23.07,1,23.07,23.07,23.07,0.0
acl,GroupNormSilu_Tiling,65.94,8,8.242,0.74,22.26,56.757
acl,Index_Tiling,47.43,12,3.953,3.13,8.06,1.67
acl,LayerNormV3_Tiling,813.13,76,10.699,0.27,102.18,387.305
acl,Less_Tiling,18.75,1,18.75,18.75,18.75,0.0
acl,LinSpace_Tiling,390.79,32,12.212,0.42,76.58,355.987
acl,Log_Tiling,23.26,3,7.753,6.66,9.85,2.199
acl,LogicalAnd_Tiling,19.83,1,19.83,19.83,19.83,0.0
acl,LogicalNot_Tiling,180.77,25,7.231,4.25,22.27,11.644
acl,LogicalOr_Tiling,66.97,5,13.394,7.37,25.51,45.977
acl,MaskedFill_Tiling,284.24,19,14.96,8.44,27.36,33.778
acl,MatMulV2_Tiling,4789.78,78,61.407,12.04,236.85,3085.439
acl,MatMulV3_Tiling,691.66,6,115.277,0.73,322.04,15455.816
acl,Mul_Tiling,841.84,60,14.031,7.6,62.48,65.335
acl,Muls_Tiling,28.28,2,14.14,13.28,15.0,0.74
acl,MultiScaleDeformableAttnFunction_Tiling,57.4,4,14.35,0.54,33.17,195.598
acl,NonZero_Tiling,22.01,2,11.005,2.17,19.84,78.057
acl,NotEqual_Tiling,98.22,5,19.644,13.92,30.92,42.815
acl,OnesLike_Tiling,12.65,1,12.65,12.65,12.65,0.0
acl,Pack_Tiling,490.64,23,21.332,9.9,68.97,199.262
acl,PadV3_Tiling,96.13,26,3.697,0.46,13.45,11.151
acl,Pow_Tiling,85.84,9,9.538,7.59,12.29,2.139
acl,Range_Tiling,35.01,2,17.505,13.37,21.64,17.098
acl,RealDiv_Tiling,499.95,40,12.499,7.24,36.61,28.449
acl,ReduceAll_Tiling,83.05,4,20.762,0.56,41.17,393.368
acl,ReduceAny_Tiling,54.97,4,13.742,0.44,36.21,213.016
acl,ReduceMax_Tiling,34.28,2,17.14,1.72,32.56,237.776
acl,ReduceMean_Tiling,410.12,6,68.353,0.38,341.12,15097.478
acl,ReduceProd_Tiling,49.27,2,24.635,1.4,47.87,539.865
acl,ReduceSum_Tiling,185.45,18,10.303,0.39,39.47,135.257
acl,Relu_Tiling,64.99,6,10.832,7.35,16.66,9.706
acl,ResizeNearestNeighborV2_Tiling,23.94,4,5.985,2.69,9.48,9.963
acl,Roll_Tiling,81.51,24,3.396,2.19,7.13,0.968
acl,SelectV2_Tiling,38.72,2,19.36,16.44,22.28,8.526
acl,Sigmoid_Tiling,31.56,3,10.52,6.74,15.38,13.025
acl,Sin_Tiling,71.32,10,7.132,4.9,13.25,5.395
acl,Slice_Tiling,2044.21,82,24.929,4.45,963.45,11053.294
acl,SoftmaxV2_Tiling,449.56,40,11.239,0.35,38.01,149.248
acl,StridedSlice_Tiling,178.04,20,8.902,5.17,19.35,23.103
acl,Sub_Tiling,436.36,28,15.584,8.3,41.82,65.26
acl,Tanh_Tiling,10.6,1,10.6,10.6,10.6,0.0
acl,TensorMove_Tiling,31.52,8,3.94,1.88,8.27,4.272
acl,Tile_Tiling,185.09,7,26.441,11.78,41.25,109.176
acl,TopKV2_Tiling,29.12,2,14.56,1.06,28.06,182.25
acl,TransData_Tiling,133.31,12,11.109,5.42,28.85,47.842
acl,Transpose_Tiling,3238.9,358,9.047,0.31,110.68,220.085
acl,ViewCopy_Tiling,150.21,17,8.836,5.25,15.91,10.699
acl,ZerosLike_Tiling,160.86,11,14.624,7.01,34.83,81.084
acl,aclCreateDataBuffer,6.38,20,0.319,0.22,0.95,0.024
acl,aclCreateTensorDesc,18.66,20,0.933,0.41,2.29,0.218
acl,aclDestroyTensorDesc,35.93,20,1.796,0.57,8.9,3.099
acl,aclMallocMemInner,2206.76,32,68.961,43.66,146.07,592.072
acl,aclnnAbs,466.69,6,77.782,6.81,425.83,24228.623
acl,aclnnAbsGetWorkspaceSize,777.91,1,777.91,777.91,777.91,0.0
acl,aclnnAdd,4043.77,189,21.396,6.17,117.73,376.858
acl,aclnnAddGetWorkspaceSize,1742.78,63,27.663,20.23,50.84,38.534
acl,aclnnAddmm,10585.33,366,28.922,5.38,300.98,2191.283
acl,aclnnAddmmGetWorkspaceSize,5970.19,78,76.541,49.5,424.86,2896.892
acl,aclnnAdds,3412.8,28,121.886,6.65,2151.71,153443.64
acl,aclnnAddsGetWorkspaceSize,2057.69,18,114.316,19.58,1520.44,116355.484
acl,aclnnAll,3243.02,13,249.463,11.41,3022.83,641239.556
acl,aclnnAllGetWorkspaceSize,9085.07,2,4542.535,106.94,8978.13,19674503.004
acl,aclnnAny,3547.06,12,295.588,8.39,3407.36,880323.158
acl,aclnnAnyGetWorkspaceSize,9977.75,2,4988.875,55.53,9922.22,24337892.889
acl,aclnnArange,590.2,17,34.718,8.06,268.28,3741.353
acl,aclnnArangeGetWorkspaceSize,282.51,2,141.255,40.05,242.46,10242.452
acl,aclnnBaddbmm,1506.49,12,125.541,30.44,754.11,45958.952
acl,aclnnBaddbmmGetWorkspaceSize,1297.78,2,648.89,181.23,1116.55,218705.876
acl,aclnnBatchMatMul,12110.3,42,288.34,11.9,9861.41,2243575.231
acl,aclnnBatchMatMulGetWorkspaceSize,2305.25,7,329.321,38.64,1791.1,357272.258
acl,aclnnBitwiseAndTensor,2404.86,1,2404.86,2404.86,2404.86,0.0
acl,aclnnBitwiseAndTensorGetWorkspaceSize,1810.65,1,1810.65,1810.65,1810.65,0.0
acl,aclnnBitwiseNot,35291.22,37,953.817,6.11,33427.18,29297752.216
acl,aclnnBitwiseNotGetWorkspaceSize,30521.99,25,1220.88,18.07,28374.71,30800796.38
acl,aclnnBitwiseOrTensor,94.88,6,15.813,7.59,53.72,287.579
acl,aclnnBitwiseOrTensorGetWorkspaceSize,30.1,1,30.1,30.1,30.1,0.0
acl,aclnnCast,3163.28,47,67.304,6.24,600.27,16737.055
acl,aclnnCastGetWorkspaceSize,7010.56,24,292.107,14.77,5491.46,1184405.997
acl,aclnnCat,4805.61,38,126.463,6.99,1035.59,56404.81
acl,aclnnCatGetWorkspaceSize,3160.33,25,126.413,22.67,766.36,40352.863
acl,aclnnClamp,3198.75,60,53.312,6.32,2336.83,88641.219
acl,aclnnClampGetWorkspaceSize,2613.97,8,326.746,29.27,2352.42,586244.257
acl,aclnnConstantPadNd,1164.8,13,89.6,53.54,296.92,3696.84
acl,aclnnConstantPadNdGetWorkspaceSize,5957.67,13,458.282,50.95,5273.7,1932382.786
acl,aclnnCos,1084.38,33,32.86,10.99,145.93,1090.457
acl,aclnnCosGetWorkspaceSize,466.3,10,46.63,32.37,56.99,57.421
acl,aclnnCumsum,1088.54,9,120.949,41.63,394.74,9925.149
acl,aclnnCumsumGetWorkspaceSize,4502.35,9,500.261,21.88,3999.62,1537908.798
acl,aclnnDiv,2108.08,72,29.279,5.99,132.46,807.593
acl,aclnnDivGetWorkspaceSize,835.36,30,27.845,19.34,52.17,57.435
acl,aclnnDivMods,406.47,15,27.098,6.83,62.55,297.611
acl,aclnnDivModsGetWorkspaceSize,267.29,9,29.699,22.55,67.89,192.825
acl,aclnnDivs,668.76,29,23.061,6.8,82.64,398.843
acl,aclnnDivsGetWorkspaceSize,210.67,10,21.067,16.1,33.1,33.359
acl,aclnnEmbedding,3072.94,3,1024.313,52.33,2940.27,1835575.734
acl,aclnnEmbeddingGetWorkspaceSize,10957.73,3,3652.577,23.83,10896.43,26236736.566
acl,aclnnEqScalar,3689.18,33,111.793,6.85,2390.44,163841.966
acl,aclnnEqScalarGetWorkspaceSize,2586.8,17,152.165,17.35,2083.42,233172.267
acl,aclnnEqTensor,1881.56,12,156.797,6.39,1760.62,233855.414
acl,aclnnEqTensorGetWorkspaceSize,1330.86,1,1330.86,1330.86,1330.86,0.0
acl,aclnnEye,452.43,1,452.43,452.43,452.43,0.0
acl,aclnnEyeGetWorkspaceSize,1000.44,1,1000.44,1000.44,1000.44,0.0
acl,aclnnGather,1074.0,3,358.0,89.72,827.92,111152.551
acl,aclnnGatherGetWorkspaceSize,2698.28,3,899.427,88.93,2485.68,1258300.963
acl,aclnnGelu,665.05,24,27.71,6.41,69.57,335.912
acl,aclnnGeluGetWorkspaceSize,293.27,13,22.559,18.11,44.76,42.831
acl,aclnnGroupNorm,952.67,4,238.167,57.96,660.41,60899.691
acl,aclnnGroupNormGetWorkspaceSize,2259.56,4,564.89,65.69,2048.74,733952.798
acl,aclnnGtScalar,2216.84,1,2216.84,2216.84,2216.84,0.0
acl,aclnnGtScalarGetWorkspaceSize,3757.6,1,3757.6,3757.6,3757.6,0.0
acl,aclnnIndex,730.78,12,60.898,26.63,312.23,5769.703
acl,aclnnIndexGetWorkspaceSize,14427.42,12,1202.285,25.44,14091.46,15102814.751
acl,aclnnInplaceAdd,305.13,16,19.071,6.53,91.97,584.03
acl,aclnnInplaceBitwiseOrTensor,2182.64,4,545.66,32.23,2028.17,732980.052
acl,aclnnInplaceBitwiseOrTensorGetWorkspaceSize,1851.15,4,462.788,13.95,1802.89,598628.018
acl,aclnnInplaceCopy,13233.15,220,60.151,6.89,2899.54,59160.71
acl,aclnnInplaceCopyGetWorkspaceSize,16443.57,145,113.404,14.08,6420.1,296667.195
acl,aclnnInplaceFillScalar,5918.11,80,73.976,6.8,1869.97,79987.673
acl,aclnnInplaceFillScalarGetWorkspaceSize,4762.2,43,110.749,17.54,2424.66,172204.874
acl,aclnnInplaceMaskedFillScalar,3079.64,55,55.993,5.78,1824.13,58330.295
acl,aclnnInplaceMaskedFillScalarGetWorkspaceSize,2238.27,19,117.804,16.68,1773.48,152339.748
acl,aclnnInplaceOne,419.09,1,419.09,419.09,419.09,0.0
acl,aclnnInplaceOneGetWorkspaceSize,917.26,1,917.26,917.26,917.26,0.0
acl,aclnnInplaceZero,2302.39,34,67.717,6.73,1060.37,36080.436
acl,aclnnInplaceZeroGetWorkspaceSize,2401.99,11,218.363,21.48,1751.72,246676.467
acl,aclnnLayerNorm,2584.56,123,21.013,6.41,306.77,887.716
acl,aclnnLayerNormWithImplModeGetWorkspaceSize,3006.78,38,79.126,42.15,158.29,993.477
acl,aclnnLinspace,1120.44,16,70.028,31.77,484.56,11521.99
acl,aclnnLinspaceGetWorkspaceSize,2988.24,16,186.765,49.53,2014.27,223185.117
acl,aclnnLog,587.88,13,45.222,6.22,424.8,12162.22
acl,aclnnLogGetWorkspaceSize,1379.99,3,459.997,20.53,1336.71,384313.956
acl,aclnnLtScalar,1978.72,1,1978.72,1978.72,1978.72,0.0
acl,aclnnLtScalarGetWorkspaceSize,2165.08,1,2165.08,2165.08,2165.08,0.0
acl,aclnnMatmul,14921.63,58,257.269,11.92,4565.27,591694.294
acl,aclnnMatmulGetWorkspaceSize,16027.38,34,471.394,55.37,11491.25,3736607.112
acl,aclnnMax,3581.24,6,596.873,12.44,3510.38,1697706.737
acl,aclnnMaxDim,1030.54,7,147.22,18.36,836.28,79517.195
acl,aclnnMaxDimGetWorkspaceSize,1422.51,2,711.255,50.26,1372.25,436914.39
acl,aclnnMaxGetWorkspaceSize,12793.59,1,12793.59,12793.59,12793.59,0.0
acl,aclnnMean,6734.42,18,374.134,11.11,6418.46,2149210.189
acl,aclnnMeanGetWorkspaceSize,18935.85,3,6311.95,71.61,18777.56,77695754.187
acl,aclnnMul,40548.9,53,765.074,7.52,38703.58,27680601.03
acl,aclnnMulGetWorkspaceSize,30831.21,18,1712.845,23.14,30099.93,47402118.703
acl,aclnnMuls,4463.22,129,34.599,6.74,195.55,1361.486
acl,aclnnMulsGetWorkspaceSize,2140.21,42,50.957,18.97,139.15,1144.262
acl,aclnnMultiScaleDeformableAttnFunction,537.5,12,44.792,11.61,329.17,7440.212
acl,aclnnMultiScaleDeformableAttnFunctionGetWorkspaceSize,1254.24,12,104.52,10.8,1046.8,80986.133
acl,aclnnNeScalar,2133.68,4,533.42,48.52,1980.35,697872.202
acl,aclnnNeScalarGetWorkspaceSize,2575.87,4,643.967,20.57,2489.27,1135137.387
acl,aclnnNeTensor,121.11,6,20.185,7.19,79.64,707.554
acl,aclnnNeTensorGetWorkspaceSize,38.37,1,38.37,38.37,38.37,0.0
acl,aclnnNonzero,604.34,1,604.34,604.34,604.34,0.0
acl,aclnnNonzeroGetWorkspaceSize,12301.18,1,12301.18,12301.18,12301.18,0.0
acl,aclnnPowScalarTensor,416.94,15,27.796,7.18,58.72,308.677
acl,aclnnPowScalarTensorGetWorkspaceSize,235.6,9,26.178,22.72,33.47,14.426
acl,aclnnProdDim,2632.07,1,2632.07,2632.07,2632.07,0.0
acl,aclnnProdDimGetWorkspaceSize,12077.73,1,12077.73,12077.73,12077.73,0.0
acl,aclnnReduceSum,9902.45,28,353.659,11.59,5409.89,1306905.249
acl,aclnnReduceSumGetWorkspaceSize,30222.76,9,3358.084,57.45,19011.11,41696310.321
acl,aclnnRelu,1120.74,50,22.415,5.89,473.55,4363.452
acl,aclnnReluGetWorkspaceSize,1037.64,6,172.94,30.98,852.49,92380.865
acl,aclnnRepeat,4241.63,23,184.419,7.61,1895.84,273185.044
acl,aclnnRepeatGetWorkspaceSize,3012.16,7,430.309,27.21,1496.27,398836.538
acl,aclnnRoll,2981.42,12,248.452,122.43,526.05,20963.281
acl,aclnnRollGetWorkspaceSize,2679.97,12,223.331,120.21,1159.21,80016.036
acl,aclnnRsubs,2231.76,14,159.411,6.49,2002.72,261688.626
acl,aclnnRsubsGetWorkspaceSize,1532.59,4,383.147,24.46,1448.52,378345.4
acl,aclnnSWhere,2559.46,12,213.288,6.62,2390.17,430942.638
acl,aclnnSWhereGetWorkspaceSize,2394.91,2,1197.455,34.92,2359.99,1351487.626
acl,aclnnSigmoid,649.66,15,43.311,6.29,454.05,12178.023
acl,aclnnSigmoidGetWorkspaceSize,998.42,3,332.807,20.77,951.13,191167.382
acl,aclnnSin,1381.72,33,41.87,11.23,225.86,2821.487
acl,aclnnSinGetWorkspaceSize,485.0,10,48.5,33.6,69.04,113.043
acl,aclnnSoftmax,1596.71,66,24.193,5.97,538.97,4230.652
acl,aclnnSoftmaxGetWorkspaceSize,3166.32,20,158.316,39.66,2143.9,207637.728
acl,aclnnStack,4978.2,51,97.612,5.58,1138.45,57576.917
acl,aclnnStackGetWorkspaceSize,4814.55,23,209.328,19.87,2193.18,223228.543
acl,aclnnSub,2859.02,18,158.834,8.75,2113.66,226252.505
acl,aclnnSubGetWorkspaceSize,2701.01,8,337.626,24.37,2457.39,642092.63
acl,aclnnSubs,1085.41,16,67.838,37.72,108.66,542.393
acl,aclnnSubsGetWorkspaceSize,553.41,16,34.588,27.51,47.89,36.987
acl,aclnnTanh,493.52,1,493.52,493.52,493.52,0.0
acl,aclnnTanhGetWorkspaceSize,1060.36,1,1060.36,1060.36,1060.36,0.0
acl,aclnnTopk,477.81,1,477.81,477.81,477.81,0.0
acl,aclnnTopkGetWorkspaceSize,2560.02,1,2560.02,2560.02,2560.02,0.0
acl,aclnnUpsampleNearest2dV2,1110.92,4,277.73,130.52,618.52,39998.259
acl,aclnnUpsampleNearest2dV2GetWorkspaceSize,2109.7,4,527.425,59.69,1909.41,636646.869
acl,aclopCompileAndExecute,996497.22,5,199299.444,151.6,550270.95,60454347810.373
acl,aclopCreateAttr,1.89,5,0.378,0.27,0.61,0.015
acl,aclopDestroyAttr,44.64,5,8.928,7.1,12.01,3.63
acl,aclrtGetCurrentContext,6.26,2,3.13,3.04,3.22,0.008
acl,aclrtMemcpy,1066829.84,987,1080.881,14.21,363882.31,145529233.045
acl,aclrtSetCurrentContext,20.53,2,10.265,8.95,11.58,1.729
acl,aclrtSynchronizeDeviceWithTimeout,34.9,1,34.9,34.9,34.9,0.0
acl,aclrtSynchronizeStream,6923.08,881,7.858,5.12,245.22,70.143
acl,aclrtSynchronizeStreamWithTimeout,3332.1,107,31.141,3.18,1668.56,25462.769
node,launch,51822.34,3085,16.798,2.83,1004.05,2835.1
acl,opCompile,900870.31,5,180174.062,14.8,503261.42,49797375368.712
